Block ID,Type,Code,Name,Catalog Year
RA000004,OTHER,GENED,General Education Requirements,2009 - 9999
RA000005,DEGREE,BM,Degree in Bachelor of Music,2009 - 2014
RA000007,MAJOR,554*,Major in Music Performance,2009 - 2009
RA000008,CONC,554C,Conc in Composition & Theory,2009 - 2009
RA000009,CONC,554P,Conc in Instrument/Piano,2009 - 2014
RA000010,CONC,554N,Conc in Instrument/Organ,2009 - 2014
RA000011,CONC,554E,Conc in Instrument/Bassoon,2009 - 2014
RA000012,CONC,554B,Conc in Sacred Music,2009 - 2009
RA000013,CONC,554Y,Conc in Voice,2009 - 2014
RA000014,MAJOR,552*,Major in General Music Education (K-12),2009 - 2009
RA000016,CONC,552D,Conc in Choral Music Ed (K-12),2009 - 2009
RA000017,CONC,552C,Conc in Instrumental,2009 - 2009
RA000018,MAJOR,553A,Major in Music Therapy,2009 - 2009
RA000019,MAJOR,557A,Major in Music Industry Studies,2009 - 2009
RA000020,DEGREE,CERT,Certificate,2009 - 9999
RA000021,MAJOR,320A,Cert in Financial Planning,2009 - 9999
RA000022,MINOR,301,Minor in Accounting,2009 - 2014
RA000023,MINOR,310,Minor in Computer Information Systems,2009 - 2010
RA000024,MINOR,316,Minor in Economics,2009 - 2013
RA000025,MINOR,355,Minor in Entrepreneurship,2009 - 2010
RA000026,MINOR,324,Minor in General Business,2009 - 2010
RA000027,MINOR,328,Minor in Health Care Management,2009 - 2010
RA000028,MINOR,337,Minor in International Business,2009 - 2013
RA000029,MINOR,352,Minor in Marketing,2009 - 2010
RA000030,MINOR,360,Minor in Supply Chain Management,2009 - 2011
RA000031,MINOR,605,Minor in Medical Humanities,2009 - 2012
RA000032,MINOR,100,Minor in Appalachian Music (Rts&Inf),2009 - 2012
RA000033,MINOR,204,Minor in Appalachian Studies,2009 - 2012
RA000034,MINOR,601,Minor in Global Studies,2009 - 2009
RA000035,MINOR,212,Minor in Black Studies,2009 - 2010
RA000036,MINOR,112,Minor in Interdisciplinary Studies,2009 - 2015
RA000037,MINOR,250,Minor in Internet Studies,2009 - 2012
RA000038,MINOR,249,Minor in Labor Studies,2009 - 2010
RA000039,MINOR,606,Minor in LGBT Studies,2009 - 2014
RA000040,MINOR,294,Minor in Sustainable Development,2009 - 2012
RA000041,MINOR,175,Minor in Women's Studies,2009 - 2009
RA000042,DEGREE,BFA,Degree in Bachelor of Fine Arts,2009 - 2014
RA000044,DEGREE,BSB,Degree in Bach of Sci in Business Admin,2009 - 2014
RA000045,DEGREE,BSC,Degree in Bach of Sci in Criminal Justice,2009 - 2014
RA000046,DEGREE,BSN,Degree in Bach of Sci in Nursing,2009 - 2014
RA000047,DEGREE,BSW,Degree in Bach of Sci in Social Work,2009 - 2010
RA000048,DEGREE,BA,Degree in Bachelor of Arts,2009 - 2014
RA000049,MINOR,551,Minor in Music,2009 - 2019
RA000050,DEGREE,BS,Degree in Bachelor of Science,2009 - 2010
RA000051,OTHER,HON,Honors College Requirements,2009 - 2012
RA000052,MAJOR,600A,Major in Appalachian Studies,2009 - 2010
RA000053,MAJOR,601A,Major in Global Studies,2009 - 2012
RA000054,MAJOR,250*,Major in Interdisciplinary Studies,2009 - 2012
RA000055,CONC,250B,Conc in American Studies,2009 - 2009
RA000056,CONC,250D,Conc in Environmental Policy & Planning,2009 - 2009
RA000057,CONC,250E,Conc in Individually Designed,2009 - 2015
RA000058,CONC,250Q,Conc in Internet Studies,2009 - 2011
RA000059,CONC,250S,Conc in Labor Studies,2009 - 2013
RA000060,CONC,250L,Conc in Liberal Studies (Modern),2009 - 2010
RA000061,MAJOR,603A,Major in Sustainable Development (BA),2009 - 2011
RA000062,MAJOR,604*,Major in Sustainable Development (BS),2009 - 2009
RA000063,CONC,604B,Conc in Agroecology & Sustainable Ag,2009 - 2009
RA000064,CONC,604C,Conc in Comm Regional & Global Dev,2009 - 2011
RA000065,CONC,604D,Conc in Environmental Studies,2009 - 2011
RA000066,MAJOR,602A,Major in Women's Studies,2009 - 2009
RA000068,MAJOR,301A,Major in Accounting,2009 - 2013
RA000069,MAJOR,310A,Major in Computer Information Systems,2009 - 2010
